DATETIME;MXCO;JUNG;NEWK;OULU;SOPO
2017-09-03 00:00:00;227.833;187.453; 97.407;108.931;314.183
2017-09-03 00:05:00;228.933;186.786;100.048;107.581;316.250
2017-09-03 00:10:00;229.233;185.620; 98.056;109.373;315.830
2017-09-03 00:15:00;228.100;189.465; 98.726;108.489;314.286
2017-09-03 00:20:00;227.500;188.537; 98.418;108.176;316.604
2017-09-03 00:25:00;226.500;187.814; 98.186;109.600;314.754
2017-09-03 00:30:00;227.533;189.316; 98.328;108.718;315.658
2017-09-03 00:35:00;230.100;189.144; 98.608;109.406;315.754
2017-09-03 00:40:00;228.800;186.524; 98.450;108.875;313.960
2017-09-03 00:45:00;228.400;186.493; 99.098;107.937;317.258
2017-09-03 00:50:00;227.733;187.311; 97.722;108.190;314.922
2017-09-03 00:55:00;230.200;187.079; 98.460;107.951;314.060
2017-09-03 01:00:00;229.067;187.343; 98.178;108.863;315.790
2017-09-03 01:05:00;228.367;187.740; 99.146;110.029;316.534
2017-09-03 01:10:00;226.933;185.246; 99.648;107.985;316.758
2017-09-03 01:15:00;229.833;186.760; 98.340;107.189;316.550
2017-09-03 01:20:00;228.500;187.661; 98.522;107.575;314.860
2017-09-03 01:25:00;225.833;188.458; 99.636;107.728;315.062
2017-09-03 01:30:00;230.933;189.392; 99.230;109.509;314.294
2017-09-03 01:35:00;227.900;188.977; 99.352;109.992;314.742
2017-09-03 01:40:00;228.333;187.506;100.210;108.153;317.198
2017-09-03 01:45:00;226.700;188.305; 99.732;107.817;318.820
2017-09-03 01:50:00;229.500;189.147; 97.028;107.791;314.344
2017-09-03 01:55:00;230.800;189.743; 99.046;109.191;316.656
2017-09-03 02:00:00;228.033;188.557;101.625;108.751;316.534
2017-09-03 02:05:00;228.267;188.903; 98.344;108.646;316.538
2017-09-03 02:10:00;230.667;187.406; 98.120;109.625;317.014
2017-09-03 02:15:00;229.533;188.989; 99.714;107.492;316.804
2017-09-03 02:20:00;228.467;189.255; 99.028;107.685;318.470
2017-09-03 02:25:00;228.033;188.818;100.576;109.603;315.768
2017-09-03 02:30:00;232.967;188.965; 98.916;109.237;314.614
2017-09-03 02:35:00;228.433;187.228;100.262;108.906;314.606
2017-09-03 02:40:00;230.267;190.092; 99.350;109.419;315.024
2017-09-03 02:45:00;227.833;188.952; 98.884;106.948;315.230
2017-09-03 02:50:00;227.733;187.229; 99.042;108.650;315.460
2017-09-03 02:55:00;228.600;188.232; 99.972;108.450;317.640
2017-09-03 03:00:00;227.200;185.567; 99.162;108.465;318.800
2017-09-03 03:05:00;226.133;187.778; 99.482;108.047;317.286
2017-09-03 03:10:00;228.900;187.818; 99.710;108.124;317.980
2017-09-03 03:15:00;226.867;190.290; 98.960;108.237;315.616
2017-09-03 03:20:00;228.000;189.789; 98.834;107.716;318.258
2017-09-03 03:25:00;227.933;185.795;100.078;108.531;315.644
2017-09-03 03:30:00;227.700;186.519; 99.988;109.976;316.996
2017-09-03 03:35:00;228.633;189.363; 99.624;107.771;313.004
2017-09-03 03:40:00;228.800;188.490; 99.380;109.176;314.576
2017-09-03 03:45:00;230.400;187.979; 99.044;108.652;316.074
2017-09-03 03:50:00;230.333;189.092; 98.902;109.194;314.942
2017-09-03 03:55:00;230.334;188.967;100.538;107.886;317.014
2017-09-03 04:00:00;230.767;187.673;101.250;109.665;314.110
2017-09-03 04:05:00;227.133;188.739;100.202;108.877;318.246
2017-09-03 04:10:00;229.567;188.713; 99.334;108.075;316.772
2017-09-03 04:15:00;228.400;189.845; 98.684;110.365;314.170
2017-09-03 04:20:00;226.300;187.645; 99.468;107.868;317.720
2017-09-03 04:25:00;227.333;186.966;100.098;109.326;315.858
2017-09-03 04:30:00;226.600;189.146; 99.940;107.120;316.898
2017-09-03 04:35:00;227.333;189.895; 99.026;109.929;318.120
2017-09-03 04:40:00;230.167;188.945; 99.586;109.450;316.160
2017-09-03 04:45:00;228.433;190.165; 99.904;111.257;315.184
2017-09-03 04:50:00;229.267;188.300;100.910;107.858;314.932
2017-09-03 04:55:00;228.267;191.572; 99.240;106.844;313.934
2017-09-03 05:00:00;229.267;190.095; 98.452;110.990;317.464
2017-09-03 05:05:00;228.400;189.059;100.844;109.175;315.950
2017-09-03 05:10:00;229.233;190.817; 99.112;109.812;317.014
2017-09-03 05:15:00;228.033;189.397; 99.248;111.135;316.742
2017-09-03 05:20:00;227.433;190.161; 99.932;108.390;317.334
2017-09-03 05:25:00;229.300;188.680; 97.818;108.664;315.118
2017-09-03 05:30:00;228.433;187.762; 98.156;107.059;316.722
2017-09-03 05:35:00;228.333;189.515; 99.324;108.783;318.226
2017-09-03 05:40:00;231.433;189.577; 99.830;108.549;317.784
2017-09-03 05:45:00;227.667;190.658; 98.632;109.365;314.456
2017-09-03 05:50:00;226.800;189.071; 97.906;110.967;315.712
2017-09-03 05:55:00;227.400;190.494; 98.432;108.992;316.590
2017-09-03 06:00:00;227.400;191.915;100.048;108.195;317.494
2017-09-03 06:05:00;229.400;190.749; 97.812;109.649;315.054
2017-09-03 06:10:00;229.833;191.894; 98.850;108.765;317.710
2017-09-03 06:15:00;228.567;189.348; 98.454;108.277;315.676
2017-09-03 06:20:00;227.700;191.042; 99.788;109.410;317.296
2017-09-03 06:25:00;228.867;188.133; 99.322;109.202;317.128
2017-09-03 06:30:00;227.867;191.576; 98.082;108.344;317.892
2017-09-03 06:35:00;230.133;190.606; 98.938;109.545;316.966
2017-09-03 06:40:00;229.400;188.314; 99.982;109.384;316.670
2017-09-03 06:45:00;227.200;189.934; 98.172;108.624;315.680
2017-09-03 06:50:00;230.300;190.641; 98.038;110.679;315.956
2017-09-03 06:55:00;226.934;189.012; 99.126;109.204;318.340
2017-09-03 07:00:00;230.300;190.164; 98.474;108.737;314.824
2017-09-03 07:05:00;229.700;191.318;100.970;111.345;315.704
2017-09-03 07:10:00;231.200;190.883; 99.752;108.429;316.542
2017-09-03 07:15:00;232.300;188.242; 97.218;109.678;319.642
2017-09-03 07:20:00;229.233;190.823; 98.612;110.227;318.428
2017-09-03 07:25:00;230.933;191.480; 96.916;108.350;315.888
2017-09-03 07:30:00;230.366;191.851; 97.682;109.624;314.526
