DATETIME;MXCO;JUNG;NEWK;OULU;SOPO
                       MXCO    JUNG    NEWK    OULU    SOPO
2025-03-03 00:00:00;212.096;169.310; 86.948; 94.557;255.274
2025-03-03 00:05:00;211.997;165.951; 86.992; 94.469;252.998
2025-03-03 00:10:00;213.030;168.383; 86.274; 92.707;252.532
2025-03-03 00:15:00;210.800;167.527; 84.218; 94.760;254.622
2025-03-03 00:20:00;214.337;168.361; 86.700; 94.970;252.178
2025-03-03 00:25:00;212.727;166.904; 87.032; 95.315;254.294
2025-03-03 00:30:00;209.373;169.378; 85.348; 95.788;251.686
2025-03-03 00:35:00;214.030;168.413; 86.010; 94.160;255.862
2025-03-03 00:40:00;212.580;168.192; 85.556; 95.687;255.554
2025-03-03 00:45:00;212.863;170.268; 86.826; 95.796;254.848
2025-03-03 00:50:00;213.957;168.717; 85.870; 95.243;254.528
2025-03-03 00:55:00;214.400;167.422; 86.312; 94.597;251.560
2025-03-03 01:00:00;214.570;166.833; 84.878; 95.832;253.836
2025-03-03 01:05:00;213.587;170.331; 85.480; 94.316;255.040
2025-03-03 01:10:00;213.700;165.979; 86.852; 95.254;254.204
2025-03-03 01:15:00;214.477;169.503; 86.978; 94.657;255.094
2025-03-03 01:20:00;213.853;167.700; 85.946; 93.731;254.426
2025-03-03 01:25:00;212.127;168.604; 85.890; 95.139;254.114
2025-03-03 01:30:00;213.320;165.485; 88.554; 96.834;252.740
2025-03-03 01:35:00;213.163;167.989; 86.892; 95.700;252.822
2025-03-03 01:40:00;212.570;168.601; 86.100; 93.485;255.008
2025-03-03 01:45:00;212.570;168.389; 85.546; 95.956;253.852
2025-03-03 01:50:00;212.680;168.003; 85.074; 95.651;252.624
2025-03-03 01:55:00;212.277;167.542; 87.020; 96.286;255.078
2025-03-03 02:00:00;212.980;168.040; 85.576; 95.377;252.646
2025-03-03 02:05:00;213.296;167.552; 85.604; 95.368;254.608
2025-03-03 02:10:00;213.847;168.575; 85.688; 94.564;256.042
2025-03-03 02:15:00;211.230;166.660; 87.820; 96.028;253.880
