DATETIME;MXCO;JUNG;NEWK;OULU;SOPO
2024-05-03 00:00:00;220.966;174.784; 90.076; 98.614;265.432
2024-05-03 00:05:00;219.350;174.697; 88.746; 96.893;267.144
2024-05-03 00:10:00;221.560;172.545; 88.990; 96.576;267.174
2024-05-03 00:15:00;220.060;175.887; 88.958; 99.151;267.994
2024-05-03 00:20:00;221.057;174.230; 88.880; 99.016;267.054
2024-05-03 00:25:00;220.050;176.540; 88.686; 97.376;268.214
2024-05-03 00:30:00;221.877;173.941; 89.496; 97.946;266.564
2024-05-03 00:35:00;221.623;173.131; 90.010; 97.624;265.878
2024-05-03 00:40:00;221.457;174.293; 88.698; 96.661;268.934
2024-05-03 00:45:00;218.760;174.080; 88.930; 97.080;268.876
2024-05-03 00:50:00;220.093;175.064; 87.828; 99.191;265.334
2024-05-03 00:55:00;218.983;174.149; 89.360; 97.450;264.696
2024-05-03 01:00:00;220.420;173.150; 88.450; 97.126;268.456
2024-05-03 01:05:00;219.737;174.480; 89.808; 96.773;266.778
2024-05-03 01:10:00;217.490;174.307; 88.310; 98.481;267.124
2024-05-03 01:15:00;221.493;174.025; 89.224; 97.510;267.934
2024-05-03 01:20:00;218.906;172.679; 89.074; 97.069;265.814
2024-05-03 01:25:00;220.697;175.538; 88.124; 99.484;268.228
2024-05-03 01:30:00;221.520;174.309; 89.710; 98.582;266.718
2024-05-03 01:35:00;219.297;172.023; 88.028; 98.499;266.170
2024-05-03 01:40:00;219.630;172.255; 88.344; 98.701;268.060
2024-05-03 01:45:00;218.307;172.823; 88.792; 99.093;266.942
2024-05-03 01:50:00;223.250;173.802; 88.054; 97.765;267.972
2024-05-03 01:55:00;219.127;172.679; 88.204; 97.004;267.848
2024-05-03 02:00:00;219.453;174.459; 88.936; 98.198;266.536
2024-05-03 02:05:00;222.063;175.133; 88.112; 97.499;267.454
2024-05-03 02:10:00;218.573;175.150; 88.158; 97.693;267.786
2024-05-03 02:15:00;220.377;175.055; 86.930; 98.615;264.272
2024-05-03 02:20:00;219.953;172.295; 88.194; 98.296;265.294
2024-05-03 02:25:00;218.800;174.396; 88.970; 98.094;266.588
2024-05-03 02:30:00;220.503;175.075; 89.522; 98.361;266.278
2024-05-03 02:35:00;220.167;176.663; 89.388; 97.242;266.660
2024-05-03 02:40:00;219.587;174.409; 89.330; 99.082;266.776
2024-05-03 02:45:00;217.697;172.987; 87.568; 98.334;267.724
2024-05-03 02:50:00;219.730;175.194; 88.700; 99.199;265.198
2024-05-03 02:55:00;221.650;174.803; 87.666; 99.078;265.628
2024-05-03 03:00:00;221.647;174.720; 90.212;100.376;264.976
2024-05-03 03:05:00;223.520;174.710; 88.522; 98.665;266.928
2024-05-03 03:10:00;217.413;175.396; 88.980; 97.870;267.592
2024-05-03 03:15:00;220.200;174.761; 88.726; 98.634;264.972
2024-05-03 03:20:00;222.693;176.295; 88.972; 98.555;265.266
2024-05-03 03:25:00;221.104;173.242; 88.150; 98.244;267.734
2024-05-03 03:30:00;222.304;174.571; 89.110; 98.961;266.534
2024-05-03 03:35:00;218.707;173.424; 88.994; 99.089;269.152
2024-05-03 03:40:00;219.820;176.414; 86.994; 96.984;265.118
2024-05-03 03:45:00;218.460;173.577; 89.552;100.594;264.444
2024-05-03 03:50:00;221.010;173.997; 87.168; 97.418;268.442
2024-05-03 03:55:00;222.990;174.599; 90.112; 97.372;265.962
2024-05-03 04:00:00;220.973;176.092; 90.206; 98.187;268.718
2024-05-03 04:05:00;221.003;175.144; 87.966; 98.514;267.442
2024-05-03 04:10:00;220.047;174.697; 88.292; 97.770;265.796
2024-05-03 04:15:00;220.717;174.792; 87.644; 99.240;266.602
2024-05-03 04:20:00;219.987;175.869; 89.048; 97.945;265.310
2024-05-03 04:25:00;221.420;176.212; 88.736; 98.404;268.610
2024-05-03 04:30:00;221.936;177.738; 88.058; 98.027;263.286
2024-05-03 04:35:00;219.070;174.430; 89.602; 99.916;265.660
2024-05-03 04:40:00;219.690;177.056; 87.776;100.582;267.852
2024-05-03 04:45:00;221.227;175.403; 89.162; 98.201;265.840
2024-05-03 04:50:00;223.820;175.346; 88.842; 99.164;265.234
2024-05-03 04:55:00;219.120;173.951; 88.486; 98.760;265.490
2024-05-03 05:00:00;222.310;174.360; 89.522;100.244;268.550
2024-05-03 05:05:00;218.653;178.065; 87.794; 99.107;264.584
2024-05-03 05:10:00;219.173;175.788; 89.832; 97.988;263.754
2024-05-03 05:15:00;221.057;175.420; 89.432; 98.432;266.404
2024-05-03 05:20:00;220.373;176.531; 88.242; 98.075;268.568
2024-05-03 05:25:00;219.260;175.566; 88.226; 99.322;266.450
2024-05-03 05:30:00;222.443;175.307; 88.200; 98.337;268.344
2024-05-03 05:35:00;222.483;175.934; 88.756; 99.622;265.888
2024-05-03 05:40:00;219.823;177.114; 88.790; 96.975;272.122
2024-05-03 05:45:00;222.960;177.574; 87.982; 99.361;266.174
2024-05-03 05:50:00;220.517;175.633; 89.386; 98.890;267.464
2024-05-03 05:55:00;219.363;175.010; 88.646; 97.713;270.634
2024-05-03 06:00:00;219.660;178.772; 88.918; 96.688;268.408
2024-05-03 06:05:00;219.703;177.408; 89.208;100.457;270.278
2024-05-03 06:10:00;220.863;176.757; 89.310; 98.375;268.994
2024-05-03 06:15:00;219.513;175.594; 89.448; 98.283;269.072
2024-05-03 06:20:00;222.103;177.420; 89.354; 98.877;266.740
2024-05-03 06:25:00;220.983;176.037; 88.400; 97.988;268.340
2024-05-03 06:30:00;221.070;176.071; 88.710; 99.599;267.750
2024-05-03 06:35:00;220.513;176.910; 88.632; 98.800;267.582
2024-05-03 06:40:00;222.340;177.385; 88.414; 97.540;267.850
2024-05-03 06:45:00;218.463;177.556; 89.356; 98.498;270.026
2024-05-03 06:50:00;221.927;176.058; 91.210; 99.142;270.222
2024-05-03 06:55:00;222.343;176.664; 90.428;100.198;267.918
2024-05-03 07:00:00;221.183;176.922; 88.848; 98.321;266.840
2024-05-03 07:05:00;220.653;177.333; 89.322;100.192;265.146
2024-05-03 07:10:00;217.387;174.601; 90.070; 98.627;268.698
2024-05-03 07:15:00;219.657;177.198; 89.744; 99.085;268.900
2024-05-03 07:20:00;223.513;175.012; 87.792; 99.671;266.380
2024-05-03 07:25:00;219.596;177.229; 88.390; 99.291;267.414
2024-05-03 07:30:00;222.527;174.621; 89.632; 99.128;267.318
2024-05-03 07:35:00;222.017;177.050; 91.248;100.077;268.314
2024-05-03 07:40:00;220.030;176.665; 88.136; 98.458;267.258
2024-05-03 07:45:00;219.477;176.118; 89.936; 98.723;267.324
2024-05-03 07:50:00;221.637;177.946; 88.868; 97.733;267.474
2024-05-03 07:55:00;221.300;177.067; 89.984;100.323;266.814
2024-05-03 08:00:00;220.943;175.369; 90.392;100.902;267.864
